fixture_id, referee, timezone, date, timestamp, f_period, s_period, venue_id, venue_stad, venue_city, venue_state, status, league_id, league, country, league_logo, country_flag, season, round, team_h_id, team_h_name, team_h_photo, th_win, team_a_id, team_a_name, team_a_photo, ta_win, th_goals, ta_goals, half_th, half_ta, full_th, full_ta
837991, Bruno Arleu de Araujo, UTC, 2022-04-10T19:00:00+00:00, 1649617200, 1649617200, 1649620800, 234, Estádio Governador Magalhães Pinto, Belo Horizonte, Minas Gerais, Match Finished,  71, Serie A, Brazil, https://media.api-sports.io/football/leagues/71.png, https://media.api-sports.io/flags/br.svg, 2022, Regular Season - 1,1062, Atletico-MG, https://media.api-sports.io/football/teams/1062.png, winner: True,  119, Internacional, https://media.api-sports.io/football/teams/119.png, winner: False,2,  0,1,  0, 2,  0
837992, Anderson Daronco, UTC, 2022-04-09T19:30:00+00:00, 1649532600, 1649532600, 1649536200, None, Estadio Jornalista Mário Filho, Rio de Janeiro, Rio de Janeiro, Match Finished,  71, Serie A, Brazil, https://media.api-sports.io/football/leagues/71.png, https://media.api-sports.io/flags/br.svg, 2022, Regular Season - 1,124, Fluminense, https://media.api-sports.io/football/teams/124.png, winner: None,  128, Santos, https://media.api-sports.io/football/teams/128.png, winner: None,0,  0,0,  0, 0,  0
837993, Wagner do Nascimento Magalhaes, UTC, 2022-04-10T22:00:00+00:00, 1649628000, 1649628000, 1649631600, None, Estádio Cícero Pompeu de Toledo, São Paulo, São Paulo, Match Finished,  71, Serie A, Brazil, https://media.api-sports.io/football/leagues/71.png, https://media.api-sports.io/flags/br.svg, 2022, Regular Season - 1,126, Sao Paulo, https://media.api-sports.io/football/teams/126.png, winner: True,  134, Atletico Paranaense, https://media.api-sports.io/football/teams/134.png, winner: False,4,  0,1,  0, 4,  0
837994, Caio Max Augusto Vieira, UTC, 2022-04-10T00:00:00+00:00, 1649548800, 1649548800, 1649552400, 258, Allianz Parque, São Paulo, São Paulo, Match Finished,  71, Serie A, Brazil, https://media.api-sports.io/football/leagues/71.png, https://media.api-sports.io/flags/br.svg, 2022, Regular Season - 1,121, Palmeiras, https://media.api-sports.io/football/teams/121.png, winner: False,  129, Ceara, https://media.api-sports.io/football/teams/129.png, winner: True,2,  3,1,  2, 2,  3
837995, Wilton Pereira Sampaio, UTC, 2022-04-10T19:00:00+00:00, 1649617200, 1649617200, 1649620800, 218, Estádio Nilton Santos, Rio de Janeiro, Rio de Janeiro, Match Finished,  71, Serie A, Brazil, https://media.api-sports.io/football/leagues/71.png, https://media.api-sports.io/flags/br.svg, 2022, Regular Season - 1,120, Botafogo, https://media.api-sports.io/football/teams/120.png, winner: False,  131, Corinthians, https://media.api-sports.io/football/teams/131.png, winner: True,1,  3,0,  3, 1,  3
837996, Rodolpho Toski Marques, UTC, 2022-04-11T23:00:00+00:00, 1649718000, 1649718000, 1649721600, 248, Estádio Alfredo Jaconi, Caxias do Sul, Rio Grande do Sul, Match Finished,  71, Serie A, Brazil, https://media.api-sports.io/football/leagues/71.png, https://media.api-sports.io/flags/br.svg, 2022, Regular Season - 1,152, Juventude, https://media.api-sports.io/football/teams/152.png, winner: None,  794, RB Bragantino, https://media.api-sports.io/football/teams/794.png, winner: None,2,  2,1,  1, 2,  2
837997, Felipe Fernandes de Lima, UTC, 2022-04-10T21:00:00+00:00, 1649624400, 1649624400, 1649628000, 225, Estádio Governador Plácido Aderaldo Castelo, Fortaleza, Ceará, Match Finished,  71, Serie A, Brazil, https://media.api-sports.io/football/leagues/71.png, https://media.api-sports.io/flags/br.svg, 2022, Regular Season - 1,154, Fortaleza EC, https://media.api-sports.io/football/teams/154.png, winner: False,  1193, Cuiaba, https://media.api-sports.io/football/teams/1193.png, winner: True,0,  1,0,  1, 0,  1
837998, Braulio da Silva Machado, UTC, 2022-04-09T22:00:00+00:00, 1649541600, 1649541600, 1649545200, 211, Estádio Antônio Accioly, Goiânia, Goiás, Match Finished,  71, Serie A, Brazil, https://media.api-sports.io/football/leagues/71.png, https://media.api-sports.io/flags/br.svg, 2022, Regular Season - 1,144, Atletico Goianiense, https://media.api-sports.io/football/teams/144.png, winner: None,  127, Flamengo, https://media.api-sports.io/football/teams/127.png, winner: None,1,  1,0,  0, 1,  1
837999, Luiz Flavio De Oliveira, UTC, 2022-04-10T22:00:00+00:00, 1649628000, 1649628000, 1649631600, 214, Estádio Aderbal Ramos da Silva, Florianópolis, Santa Catarina, Match Finished,  71, Serie A, Brazil, https://media.api-sports.io/football/leagues/71.png, https://media.api-sports.io/flags/br.svg, 2022, Regular Season - 1,145, Avai, https://media.api-sports.io/football/teams/145.png, winner: True,  125, America Mineiro, https://media.api-sports.io/football/teams/125.png, winner: False,1,  0,0,  0, 1,  0
838000, Raphael Claus, UTC, 2022-04-10T14:00:00+00:00, 1649599200, 1649599200, 1649602800, 230, Estádio Major Antônio Couto Pereira, Curitiba, Paraná, Match Finished,  71, Serie A, Brazil, https://media.api-sports.io/football/leagues/71.png, https://media.api-sports.io/flags/br.svg, 2022, Regular Season - 1,147, Coritiba, https://media.api-sports.io/football/teams/147.png, winner: True,  151, Goias, https://media.api-sports.io/football/teams/151.png, winner: False,3,  0,1,  0, 3,  0
838001, Ramon Abatti, UTC, 2022-04-16T22:00:00+00:00, 1650146400, 1650146400, 1650150000, 206, Estádio Raimundo Sampaio, Belo Horizonte, Minas Gerais, Match Finished,  71, Serie A, Brazil, https://media.api-sports.io/football/leagues/71.png, https://media.api-sports.io/flags/br.svg, 2022, Regular Season - 2,125, America Mineiro, https://media.api-sports.io/football/teams/125.png, winner: True,  152, Juventude, https://media.api-sports.io/football/teams/152.png, winner: False,4,  1,2,  0, 4,  1
838002, Anderson Daronco, UTC, 2022-04-17T19:00:00+00:00, 1650222000, 1650222000, 1650225600, None, Estadio Jornalista Mário Filho, Rio de Janeiro, Rio de Janeiro, Match Finished,  71, Serie A, Brazil, https://media.api-sports.io/football/leagues/71.png, https://media.api-sports.io/flags/br.svg, 2022, Regular Season - 2,127, Flamengo, https://media.api-sports.io/football/teams/127.png, winner: True,  126, Sao Paulo, https://media.api-sports.io/football/teams/126.png, winner: False,3,  1,1,  1, 3,  1
838003, Paulo Roberto Alves Júnior, UTC, 2022-04-17T21:00:00+00:00, 1650229200, 1650229200, 1650232800, 220, Estádio Nabi Abi Chedid, Bragança Paulista, São Paulo, Match Finished,  71, Serie A, Brazil, https://media.api-sports.io/football/leagues/71.png, https://media.api-sports.io/flags/br.svg, 2022, Regular Season - 2,794, RB Bragantino, https://media.api-sports.io/football/teams/794.png, winner: True,  144, Atletico Goianiense, https://media.api-sports.io/football/teams/144.png, winner: False,4,  0,3,  0, 4,  0
838004, Bruno Arleu de Araujo, UTC, 2022-04-16T22:00:00+00:00, 1650146400, 1650146400, 1650150000, 11531, Neo Química Arena, São Paulo, São Paulo, Match Finished,  71, Serie A, Brazil, https://media.api-sports.io/football/leagues/71.png, https://media.api-sports.io/flags/br.svg, 2022, Regular Season - 2,131, Corinthians, https://media.api-sports.io/football/teams/131.png, winner: True,  145, Avai, https://media.api-sports.io/football/teams/145.png, winner: False,3,  0,2,  0, 3,  0
838005, Wagner do Nascimento Magalhaes, UTC, 2022-04-17T14:00:00+00:00, 1650204000, 1650204000, 1650207600, 10494, Estádio Urbano Caldeira, Santos, São Paulo, Match Finished,  71, Serie A, Brazil, https://media.api-sports.io/football/leagues/71.png, https://media.api-sports.io/flags/br.svg, 2022, Regular Season - 2,128, Santos, https://media.api-sports.io/football/teams/128.png, winner: True,  147, Coritiba, https://media.api-sports.io/football/teams/147.png, winner: False,2,  1,2,  1, 2,  1
838006, Flavio Rodrigues De Souza, UTC, 2022-04-17T21:00:00+00:00, 1650229200, 1650229200, 1650232800, 244, Estádio José Pinheiro Borda, Porto Alegre, Rio Grande do Sul, Match Finished,  71, Serie A, Brazil, https://media.api-sports.io/football/leagues/71.png, https://media.api-sports.io/flags/br.svg, 2022, Regular Season - 2,119, Internacional, https://media.api-sports.io/football/teams/119.png, winner: True,  154, Fortaleza EC, https://media.api-sports.io/football/teams/154.png, winner: False,2,  1,1,  1, 2,  1
838007, Raphael Claus, UTC, 2022-04-17T22:00:00+00:00, 1650232800, 1650232800, 1650236400, 225, Estádio Governador Plácido Aderaldo Castelo, Fortaleza, Ceará, Match Finished,  71, Serie A, Brazil, https://media.api-sports.io/football/leagues/71.png, https://media.api-sports.io/flags/br.svg, 2022, Regular Season - 2,129, Ceara, https://media.api-sports.io/football/teams/129.png, winner: False,  120, Botafogo, https://media.api-sports.io/football/teams/120.png, winner: True,1,  3,1,  1, 1,  3
838008, Braulio da Silva Machado, UTC, 2022-04-16T19:30:00+00:00, 1650137400, 1650137400, 1650141000, 240, Estádio de Hailé Pinheiro, Goiânia, Goiás, Match Finished,  71, Serie A, Brazil, https://media.api-sports.io/football/leagues/71.png, https://media.api-sports.io/flags/br.svg, 2022, Regular Season - 2,151, Goias, https://media.api-sports.io/football/teams/151.png, winner: None,  121, Palmeiras, https://media.api-sports.io/football/teams/121.png, winner: None,1,  1,0,  0, 1,  1
838009, Savio Pereira, UTC, 2022-04-17T00:00:00+00:00, 1650153600, 1650153600, 1650157200, 235, Arena Pantanal, Cuiabá, Mato Grosso, Match Finished,  71, Serie A, Brazil, https://media.api-sports.io/football/leagues/71.png, https://media.api-sports.io/flags/br.svg, 2022, Regular Season - 2,1193, Cuiaba, https://media.api-sports.io/football/teams/1193.png, winner: False,  124, Fluminense, https://media.api-sports.io/football/teams/124.png, winner: True,0,  1,0,  0, 0,  1
838010, Wilton Pereira Sampaio, UTC, 2022-04-17T21:00:00+00:00, 1650229200, 1650229200, 1650232800, 10493, Arena da Baixada, Curitiba, Paraná, Match Finished,  71, Serie A, Brazil, https://media.api-sports.io/football/leagues/71.png, https://media.api-sports.io/flags/br.svg, 2022, Regular Season - 2,134, Atletico Paranaense, https://media.api-sports.io/football/teams/134.png, winner: False,  1062, Atletico-MG, https://media.api-sports.io/football/teams/1062.png, winner: True,0,  1,0,  0, 0,  1
838011, Sávio Pereira, UTC, 2022-04-24T00:00:00+00:00, 1650758400, 1650758400, 1650762000, 206, Estádio Raimundo Sampaio, Belo Horizonte, Minas Gerais, Match Finished,  71, Serie A, Brazil, https://media.api-sports.io/football/leagues/71.png, https://media.api-sports.io/flags/br.svg, 2022, Regular Season - 3,1062, Atletico-MG, https://media.api-sports.io/football/teams/1062.png, winner: None,  147, Coritiba, https://media.api-sports.io/football/teams/147.png, winner: None,2,  2,2,  0, 2,  2
838012, Braulio da Silva Machado, UTC, 2022-04-23T22:00:00+00:00, 1650751200, 1650751200, 1650754800, None, Estadio Jornalista Mário Filho, Rio de Janeiro, Rio de Janeiro, Match Finished,  71, Serie A, Brazil, https://media.api-sports.io/football/leagues/71.png, https://media.api-sports.io/flags/br.svg, 2022, Regular Season - 3,124, Fluminense, https://media.api-sports.io/football/teams/124.png, winner: False,  119, Internacional, https://media.api-sports.io/football/teams/119.png, winner: True,0,  1,0,  0, 0,  1
838013, Bruno Arleu de Araujo, UTC, 2022-04-23T19:30:00+00:00, 1650742200, 1650742200, 1650745800, 220, Estádio Nabi Abi Chedid, Bragança Paulista, São Paulo, Match Finished,  71, Serie A, Brazil, https://media.api-sports.io/football/leagues/71.png, https://media.api-sports.io/flags/br.svg, 2022, Regular Season - 3,794, RB Bragantino, https://media.api-sports.io/football/teams/794.png, winner: None,  126, Sao Paulo, https://media.api-sports.io/football/teams/126.png, winner: None,1,  1,1,  0, 1,  1
838014, Anderson Daronco, UTC, 2022-04-23T22:00:00+00:00, 1650751200, 1650751200, 1650754800, 255, Arena Barueri, Barueri, São Paulo, Match Finished,  71, Serie A, Brazil, https://media.api-sports.io/football/leagues/71.png, https://media.api-sports.io/flags/br.svg, 2022, Regular Season - 3,121, Palmeiras, https://media.api-sports.io/football/teams/121.png, winner: True,  131, Corinthians, https://media.api-sports.io/football/teams/131.png, winner: False,3,  0,2,  0, 3,  0
838015, Wilton Pereira Sampaio, UTC, 2022-04-24T19:00:00+00:00, 1650826800, 1650826800, 1650830400, 10494, Estádio Urbano Caldeira, Santos, São Paulo, Match Finished,  71, Serie A, Brazil, https://media.api-sports.io/football/leagues/71.png, https://media.api-sports.io/flags/br.svg, 2022, Regular Season - 3,128, Santos, https://media.api-sports.io/football/teams/128.png, winner: True,  125, America Mineiro, https://media.api-sports.io/football/teams/125.png, winner: False,3,  0,1,  0, 3,  0
838016, Paulo Roberto Alves Júnior, UTC, 2022-04-24T21:00:00+00:00, 1650834000, 1650834000, 1650837600, 248, Estádio Alfredo Jaconi, Caxias do Sul, Rio Grande do Sul, Match Finished,  71, Serie A, Brazil, https://media.api-sports.io/football/leagues/71.png, https://media.api-sports.io/flags/br.svg, 2022, Regular Season - 3,152, Juventude, https://media.api-sports.io/football/teams/152.png, winner: False,  1193, Cuiaba, https://media.api-sports.io/football/teams/1193.png, winner: True,0,  1,0,  0, 0,  1
