id, name, firstname, lastname, age, birth, place, country, nationality, height, weight, injured, photo, team_id, team, team_logo, league_id, league, league_nationality, league_logo, league_nationality_flag, season, apps, lineups, minutes, number, position, rating, captain, subbed_in, subbed_out, bench, shots_total, shots_on, goals_total, goals_conceded, assists, saves, passes_total, passes_key, passes_accuracy, tackles_total, tackles_blocks, tackles_int, duels_total, duels_won, dribbles_att, dribbles_success, dribles_past, fouls_drawn, fouls_commited, cards_y, cards_yr, cards_r, pen_won, pen_commited, pen_scored, pen_missed, pen_saved 
208808,Marcos Brito, Marcos, Rodrigues de Brito,21, 2001-01-30, None, Brazil, Brazil, None, None, False, https://media.api-sports.io/football/players/208808.png, 1193,Cuiaba, https://media.api-sports.io/football/teams/1193.png, 71,Serie A, Brazil, https://media.api-sports.io/football/leagues/71.png, https://media.api-sports.io/flags/br.svg, 2022, None, None, None, None, Midfielder, None, False, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, committed: None, None, None, None, None, None, None, None, None
278496,Vinicius Balieiro, Vinicius Balieiro, Lourenco De Carvalho,24, 1999-05-28, None, Brazil, Brazil, None, None, False, https://media.api-sports.io/football/players/278496.png,128,Santos, https://media.api-sports.io/football/teams/128.png, 71,Serie A, Brazil, https://media.api-sports.io/football/leagues/71.png, https://media.api-sports.io/flags/br.svg, 2022, 5, 0, 71, None, Midfielder, 6.450000, False, 5, 0, 18, None, None, 0, 0, None, None, 25, 1, 5, 2, 2, 1, 11, 7, 1, 1, None, 2, committed: 2, 0, 0, 0, None, None, 0, 0, None
306220,Rodolfo Moisés, Rodolfo Moisés, Pereira dos Santos,21, 2001-03-15, None, Brazil, Brazil, None, None, False, https://media.api-sports.io/football/players/306220.png,125,America Mineiro, https://media.api-sports.io/football/teams/125.png, 71,Serie A, Brazil, https://media.api-sports.io/football/leagues/71.png, https://media.api-sports.io/flags/br.svg, 2022, None, None, None, None, Defender, None, False, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, committed: None, None, None, None, None, None, None, None, None
314305,Guilherme, Guilherme, Santana Brandão,19, 2003-09-08, None, Brazil, Brazil, None, None, False, https://media.api-sports.io/football/players/314305.png,1193,Cuiaba, https://media.api-sports.io/football/teams/1193.png, 71,Serie A, Brazil, https://media.api-sports.io/football/leagues/71.png, https://media.api-sports.io/flags/br.svg, 2022, 0, 0, 0, None, Attacker, None, False, 0, 0, 0, None, None, 0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, committed: None, 0, 0, 0, None, None, None, None, None
351506,Arthur Ribas, Arthur, de Bem Ribas,20, 2002-10-26, Canoas, Brazil, Brazil, 190 cm, 84 kg, False, https://media.api-sports.io/football/players/351506.png,152,Juventude, https://media.api-sports.io/football/teams/152.png, 71,Serie A, Brazil, https://media.api-sports.io/football/leagues/71.png, https://media.api-sports.io/flags/br.svg, 2022, 0, 0, 0, None, Goalkeeper, None, False, 0, 0, 0, None, None, 0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, committed: None, 0, 0, 0, None, None, None, None, None
351507,Nicolas Arno, Nicolas, Arno Luft,19, 2003-08-02, São Sebastião do Caí, Brazil, Brazil, None, None, False, https://media.api-sports.io/football/players/351507.png,152,Juventude, https://media.api-sports.io/football/teams/152.png, 71,Serie A, Brazil, https://media.api-sports.io/football/leagues/71.png, https://media.api-sports.io/flags/br.svg, 2022, 0, 0, 0, None, Defender, None, False, 0, 0, 0, None, None, 0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, committed: None, 0, 0, 0, None, None, None, None, None
352966,Gabriel Santos, Gabriel, dos Santos Ribeiro,18, 2004-03-19, None, Brazil, Brazil, None, None, False, https://media.api-sports.io/football/players/352966.png,144,Atletico Goianiense, https://media.api-sports.io/football/teams/144.png, 71,Serie A, Brazil, https://media.api-sports.io/football/leagues/71.png, https://media.api-sports.io/flags/br.svg, 2022, 0, 0, 0, None, Defender, None, False, 0, 0, 1, None, None, 0, 0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, committed: None, 0, 0, 0, None, None, 0, 0, None
353687,Lucas, Lucas, da Silva Chagas,19, 2003-05-24, None, Brazil, Brazil, None, None, False, https://media.api-sports.io/football/players/353687.png,144,Atletico Goianiense, https://media.api-sports.io/football/teams/144.png, 71,Serie A, Brazil, https://media.api-sports.io/football/leagues/71.png, https://media.api-sports.io/flags/br.svg, 2022, None, None, None, None, Defender, None, False, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, committed: None, None, None, None, None, None, None, None, None
356534,André Wenderrosky Sanches, André, Wenderrosky Sanches,21, 2001-07-16, None, Brazil, Brazil, 176 cm, 77 kg, False, https://media.api-sports.io/football/players/356534.png,124,Fluminense, https://media.api-sports.io/football/teams/124.png, 71,Serie A, Brazil, https://media.api-sports.io/football/leagues/71.png, https://media.api-sports.io/flags/br.svg, 2022, None, None, None, None, Midfielder, None, False, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, committed: None, None, None, None, None, None, None, None, None
356545,Landistayne, Landistayne, Santos Silva,18, 2004-10-18, Maragogi, Brazil, Brazil, 175 cm, 61 kg, False, https://media.api-sports.io/football/players/356545.png,1193,Cuiaba, https://media.api-sports.io/football/teams/1193.png, 71,Serie A, Brazil, https://media.api-sports.io/football/leagues/71.png, https://media.api-sports.io/flags/br.svg, 2022, None, None, None, None, Defender, None, False, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, committed: None, None, None, None, None, None, None, None, None
