player.id,player.name,player.firstname,player.lastname,player.age,player.birth.date,player.birth.place,player.birth.country,player.nationality,player.height,player.weight,player.injured,player.photo
32,D. Godín,Diego Roberto,Godín Leal,37,1986-02-16,Rosario,Uruguay,Uruguay,187 cm,78 kg,False,https://media.api-sports.io/football/players/32.png
256,Dani Alves,Daniel,Alves da Silva,40,1983-05-06,Juazeiro,Brazil,Brazil,172 cm,70 kg,False,https://media.api-sports.io/football/players/256.png
272,A. Rabiot,Adrien Thibault Marie,Rabiot-Provost,29,1995-04-03,Saint-Maurice,France,France,188 cm,72 kg,False,https://media.api-sports.io/football/players/272.png
758,G. Bale,Gareth Frank,Bale,34,1989-07-16,Cardiff,Wales,Wales,186 cm,81 kg,False,https://media.api-sports.io/football/players/758.png
1592,P. Cissé,Pape Abou,Cissé,29,1995-09-14,Dakar,Senegal,Senegal,197 cm,83 kg,False,https://media.api-sports.io/football/players/1592.png
1925,D. Vukovic,Daniel,Vukovic,39,1985-03-27,Sydney,Australia,Australia,187 cm,96 kg,False,https://media.api-sports.io/football/players/1925.png
1990,A. Hutchinson,Atiba,Hutchinson,40,1983-02-08,Brampton,Canada,Canada,187 cm,83 kg,False,https://media.api-sports.io/football/players/1990.png
2045,S. Kjær,Simon,Thorup Kjær,35,1989-03-26,Horsens,Denmark,Denmark,191 cm,84 kg,False,https://media.api-sports.io/football/players/2045.png
2100,C. Fai,Collins Ngoran Suiru,Fai,32,1992-08-13,Bamenda,Cameroon,Cameroon,165 cm,72 kg,False,https://media.api-sports.io/football/players/2100.png
2296,E. Hazard,Eden Michael Walter,Hazard,32,1991-01-07,La Louvière,Belgium,Belgium,175 cm,74 kg,False,https://media.api-sports.io/football/players/2296.png
2699,S. Ghoddos,Sayed Saman,Ghoddos,31,1993-09-06,Malmö,Sweden,Iran,175 cm,79 kg,False,https://media.api-sports.io/football/players/2699.png
2700,A. Jahanbakhsh,Alireza,Jahanbakhsh Jirandeh,31,1993-08-11,Jirandeh,Iran,Iran,181 cm,78 kg,False,https://media.api-sports.io/football/players/2700.png
2849,Bryan Jafet Ruiz González,Bryan Jafet,Ruiz González,37,1985-08-18,San José,Costa Rica,Costa Rica,187 cm,81 kg,False,https://media.api-sports.io/football/players/2849.png
2942,A. Balbouli,Aymen,Mathlouthi,39,1984-09-14,Tunis,Tunisia,Tunisia,182 cm,83 kg,False,https://media.api-sports.io/football/players/2942.png
2991,C. Kouyaté,Cheikhou,Kouyaté,35,1989-12-21,Dakar,Senegal,Senegal,189 cm,83 kg,False,https://media.api-sports.io/football/players/2991.png
18836,W. Hennessey,Wayne Robert,Hennessey,37,1987-01-24,Bangor,Wales,Wales,198 cm,90 kg,False,https://media.api-sports.io/football/players/18836.png
19050,A. Mooy,Aaron Frank,Mooy,33,1990-09-15,Sydney,Australia,Australia,175 cm,74 kg,False,https://media.api-sports.io/football/players/19050.png
19602,C. Gunter,Christopher Ross,Gunter,34,1989-07-21,Newport,Wales,Wales,180 cm,76 kg,False,https://media.api-sports.io/football/players/19602.png
26940,D. Epassy,Dévis Rogers,Epassy Mboka,31,1993-02-02,Soisy-sous-Montmorency,France,Cameroon,187 cm,77 kg,False,https://media.api-sports.io/football/players/26940.png
35704,A. Talavera,Alfredo,Talavera Díaz,42,1982-09-18,La Barca,Mexico,Mexico,188 cm,83 kg,False,https://media.api-sports.io/football/players/35704.png
275,E. Choupo-Moting,Jean-Eric Maxim,Choupo-Moting,35,1989-03-23,Hamburg,Germany,Cameroon,191 cm,90 kg,False,https://media.api-sports.io/football/players/275.png
373,Pepe,Képler Laveran,de Lima Ferreira,41,1983-02-26,Maceió,Brazil,Portugal,187 cm,79 kg,False,https://media.api-sports.io/football/players/373.png
731,K. Navas,Keylor Antonio,Navas Gamboa,38,1986-12-15,San Isidro,Costa Rica,Costa Rica,185 cm,80 kg,False,https://media.api-sports.io/football/players/731.png
1298,R. Skov,Robert,Faxe Skov,28,1996-05-20,Marbella,Denmark,Denmark,185 cm,81 kg,False,https://media.api-sports.io/football/players/1298.png
2098,G. Ochoa,Francisco Guillermo,Ochoa Magaña,39,1985-07-13,Guadalajara,Mexico,Mexico,190 cm,85 kg,False,https://media.api-sports.io/football/players/2098.png
2681,P. Niazmand,Seyed Payam,Niazmand Ghader,29,1995-04-06,Tehran,Iran,Iran,195 cm,90 kg,False,https://media.api-sports.io/football/players/2681.png
2687,H. Kanani,Mohammad Hossein,Kanani Zadegan,30,1994-03-23,Mahshahr,Iran,Iran,185 cm,89 kg,False,https://media.api-sports.io/football/players/2687.png
2690,M. Pouraliganji,Morteza,Pouraliganji,32,1992-04-19,Babol,Iran,Iran,187 cm,80 kg,False,https://media.api-sports.io/football/players/2690.png
