team,venue
"{'id': 119, 'name': 'Internacional', 'code': 'INT', 'country': 'Brazil', 'founded': 1909, 'national': False, 'logo': 'https://media.api-sports.io/football/teams/119.png'}","{'id': 244, 'name': 'Estádio José Pinheiro Borda', 'address': 'Avenida Padre Cacique 891, Bairro Menino Deus', 'city': 'Porto Alegre, Rio Grande do Sul', 'capacity': 50128, 'surface': 'grass', 'image': 'https://media.api-sports.io/football/venues/244.png'}"
"{'id': 120, 'name': 'Botafogo', 'code': 'BOT', 'country': 'Brazil', 'founded': 1904, 'national': False, 'logo': 'https://media.api-sports.io/football/teams/120.png'}","{'id': 218, 'name': 'Estádio Nilton Santos', 'address': 'Rua Arquias Cordeiro, Engenho de Dentro', 'city': 'Rio de Janeiro', 'capacity': 46931, 'surface': 'grass', 'image': 'https://media.api-sports.io/football/venues/218.png'}"
"{'id': 121, 'name': 'Palmeiras', 'code': 'PAL', 'country': 'Brazil', 'founded': 1914, 'national': False, 'logo': 'https://media.api-sports.io/football/teams/121.png'}","{'id': 258, 'name': 'Allianz Parque', 'address': 'Rua Turiaçu 1840, Perdizes', 'city': 'São Paulo, São Paulo', 'capacity': 43713, 'surface': 'grass', 'image': 'https://media.api-sports.io/football/venues/258.png'}"
"{'id': 124, 'name': 'Fluminense', 'code': 'FLU', 'country': 'Brazil', 'founded': 1902, 'national': False, 'logo': 'https://media.api-sports.io/football/teams/124.png'}","{'id': 204, 'name': 'Estadio Jornalista Mário Filho (Maracanã)', 'address': 'Rua Professor Eurico Rabelo, Maracanã', 'city': 'Rio de Janeiro, Rio de Janeiro', 'capacity': 78838, 'surface': 'grass', 'image': 'https://media.api-sports.io/football/venues/204.png'}"
"{'id': 125, 'name': 'America Mineiro', 'code': 'AME', 'country': 'Brazil', 'founded': 1912, 'national': False, 'logo': 'https://media.api-sports.io/football/teams/125.png'}","{'id': 206, 'name': 'Estádio Raimundo Sampaio', 'address': 'Avenida Ismênia Tunes, Bairro Horto', 'city': 'Belo Horizonte, Minas Gerais', 'capacity': 23018, 'surface': 'grass', 'image': 'https://media.api-sports.io/football/venues/206.png'}"
"{'id': 126, 'name': 'Sao Paulo', 'code': 'PAU', 'country': 'Brazil', 'founded': 1930, 'national': False, 'logo': 'https://media.api-sports.io/football/teams/126.png'}","{'id': 269, 'name': 'Estádio Cícero Pompeu de Toledo (Morumbi)', 'address': 'Praca Roberto Gomes Pedrosa 1, Morumbi', 'city': 'São Paulo, São Paulo', 'capacity': 66795, 'surface': 'grass', 'image': 'https://media.api-sports.io/football/venues/269.png'}"
"{'id': 127, 'name': 'Flamengo', 'code': 'FLA', 'country': 'Brazil', 'founded': 1895, 'national': False, 'logo': 'https://media.api-sports.io/football/teams/127.png'}","{'id': 204, 'name': 'Estadio Jornalista Mário Filho (Maracanã)', 'address': 'Rua Professor Eurico Rabelo, Maracanã', 'city': 'Rio de Janeiro, Rio de Janeiro', 'capacity': 78838, 'surface': 'grass', 'image': 'https://media.api-sports.io/football/venues/204.png'}"
"{'id': 128, 'name': 'Santos', 'code': 'SAN', 'country': 'Brazil', 'founded': 1912, 'national': False, 'logo': 'https://media.api-sports.io/football/teams/128.png'}","{'id': 10494, 'name': 'Estádio Urbano Caldeira', 'address': 'Rue Princesa Isabel 77, Vila Belmiro', 'city': 'Santos, São Paulo', 'capacity': 21256, 'surface': 'grass', 'image': 'https://media.api-sports.io/football/venues/10494.png'}"
"{'id': 129, 'name': 'Ceara', 'code': 'CEA', 'country': 'Brazil', 'founded': 1914, 'national': False, 'logo': 'https://media.api-sports.io/football/teams/129.png'}","{'id': 225, 'name': 'Estádio Governador Plácido Aderaldo Castelo', 'address': 'Avenida Alberto Craveiro, Passaré', 'city': 'Fortaleza, Ceará', 'capacity': 63903, 'surface': 'grass', 'image': 'https://media.api-sports.io/football/venues/225.png'}"
"{'id': 131, 'name': 'Corinthians', 'code': 'COR', 'country': 'Brazil', 'founded': 1910, 'national': False, 'logo': 'https://media.api-sports.io/football/teams/131.png'}","{'id': 11531, 'name': 'Neo Química Arena', 'address': 'Avenida Miguel Inácio Curi, 111, Vila Carmosina, Itaquera', 'city': 'São Paulo, São Paulo', 'capacity': 49205, 'surface': 'grass', 'image': 'https://media.api-sports.io/football/venues/11531.png'}"
